Timestamp,Study_ID,Study_title,Author_year,Year_publication,Article_Digital_Object_Identifier,Journal,COI_statement_present,COI_statement,Funding_statement_provided,Funding_statement,Raw_data_available,Raw_data_comment,Analysis_code,Analysis_code_comment,
21/06/2022 15:58:34,S_001,Accumulation and maternal transfer of perfluorooctane sulphonic acid in yellow-legged (Larus michahellis) and Audouin's gull (Larus audouinii) from the Ebro Delta Natural Park,Bertolero_2015,2015,10.1016/j.envres.2014.12.018,Environmental research,No,NA,No,NA,No,NA,No,NA,
22/06/2022 13:50:45,S_002,Comparative tissue and body compartment accumulation and maternal transfer to eggs of perfluoroalkyl sulfonates and carboxylates in Great Lakes herring gulls,Gebbink_2012,2012,10.1016/j.envpol.2011.10.011,Environmental pollution,No,NA,Yes,"This study was financially supported by Chemicals Management Plan (CMP; Environment Canada) and New Substances Division (Environment Canada), as well as by the Natural Science and Engineering Research Council (NSERC) of Canada (to R.J.L).",No,NA,No,NA,
28/06/2022 13:10:08,S_004,"Maternal transfer and occurrence of siloxanes, chlorinated paraffins, metals, PFAS and legacy POPs in herring gulls (Larus argentatus) of different urban influence",Knudtzon_2021,2021,10.1016/j.envint.2021.106478,Environment International,Yes,"""The authors declare no conflicts of interests.""",Yes,"""Funding: This study was financed by the Norwegian Environment Agency Urban Fjord Monitoring programme; the Osloforskning project at the University of Oslo.""",No,,No,NA,NA
